program_id,institution_name,recorded_distinct_professors,independent_distinct_professors,difference,status
ror:01nrxwf90:program:phd:phd-informatics,University of Edinburgh,0,0,0,pass
ca:dli:O19425660421:program:thesis-or-research-master-s:msc-in-computer-science-thesis,University of Saskatchewan,0,0,0,pass
ca:dli:O19280533442:program:thesis-or-research-master-s:msc-in-computer-science-thesis,University of Victoria,0,0,0,pass
ror:029pk6x14:program:thesis-or-research-master-s:erasmus-mundus-joint-master-in-engineering-of-data-intensive-intelligent-software-systems-ediss,Åbo Akademi University,0,0,0,pass
ror:02tyrky19:program:phd:phd-in-computer-science-and-statistics,Trinity College Dublin,0,0,0,pass
ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Saarland University,0,0,0,pass
ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,University College London,0,0,0,pass
ca:dli:O19257171832:program:thesis-or-research-master-s:msc-in-computing-science-thesis,University of Alberta,0,0,0,pass
ror:013meh722:program:phd:phd-in-computer-science,University of Cambridge,0,0,0,pass
ror:052gg0110:program:phd:dphil-in-computer-science,University of Oxford,0,0,0,pass
